INFO 2020-07-08 22:11:08,719 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:12,703 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:11:12,736 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2020-07-08 22:11:36,051 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18038
INFO 2020-07-08 22:11:36,058 basehttp 124 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
INFO 2020-07-08 22:11:36,070 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.bootstrap3.css HTTP/1.1" 200 10602
WARNING 2020-07-08 22:11:36,070 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:11:36,079 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 304 0
INFO 2020-07-08 22:11:36,080 basehttp 124 "GET /static/xadmin/js/xadmin.widget.select.js HTTP/1.1" 200 1344
INFO 2020-07-08 22:11:36,081 basehttp 124 "GET /static/xadmin/vendor/select2/select2.js HTTP/1.1" 200 104906
INFO 2020-07-08 22:11:36,082 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.js HTTP/1.1" 200 98602
INFO 2020-07-08 22:11:36,082 basehttp 124 "GET /static/xadmin/vendor/selectize/selectize.css HTTP/1.1" 200 8425
INFO 2020-07-08 22:11:40,092 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:12:39,052 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:12:43,154 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18389
WARNING 2020-07-08 22:12:43,172 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:12:47,197 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:13:10,911 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:13:14,996 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18382
WARNING 2020-07-08 22:13:15,015 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:13:19,033 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:13:47,878 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
INFO 2020-07-08 22:13:51,999 basehttp 124 "GET /xadmin/homeapp/nav/add/ HTTP/1.1" 200 18391
WARNING 2020-07-08 22:13:52,018 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1759
INFO 2020-07-08 22:13:56,036 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-07-08 22:14:21,516 basehttp 124 "POST /xadmin/homeapp/nav/add/ HTTP/1.1" 302 0
